@relation SyntheticData-N_1200-D_8-Nmin_100-Zmin_0-CL_1_2-R_0
@attribute X0 real [-5.64, 4.48]
@attribute X1 real [-5.27, 4.95]
@attribute X2 real [-4.02, 5.15]
@attribute X3 real [-5.48, 5.98]
@attribute X4 real [-5.60, 6.07]
@attribute X5 real [-6.66, 6.61]
@attribute X6 real [-5.65, 5.50]
@attribute X7 real [-4.83, 5.74]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
0.56,-1.27,2.44,-1.91,3.65,1.17,2.81,-0.6,0,0,1
1.49,-0.06,-1.89,-0.03,0.59,-0.04,3.16,1.9,0,0,1
-1.2,-1.55,-3.38,-0.18,-0.88,-3.98,1.0,2.27,0,0,1
-0.4,0.05,1.24,0.75,2.07,0.78,0.17,0.13,0,0,1
0.29,0.48,0.81,-0.1,1.84,0.08,-0.33,-1.04,0,0,1
1.68,-2.46,-0.55,1.55,-0.48,0.64,1.69,-0.02,0,0,1
4.38,-0.92,1.7,0.95,-2.27,0.82,-1.24,-2.46,0,0,1
-0.49,-0.04,0.16,3.17,-0.28,-0.34,-1.61,0.98,0,0,1
1.92,1.12,-1.08,2.9,1.22,-1.28,-0.13,1.44,0,0,1
-1.82,0.59,1.52,0.84,2.83,4.05,1.67,-0.12,0,0,1
-0.15,-0.63,3.77,-2.16,1.99,1.22,-1.2,-3.4,0,0,1
-0.24,1.72,0.02,2.24,-0.13,3.49,0.94,3.04,0,0,1
-0.34,-2.68,-3.22,1.15,-0.71,-2.9,0.96,0.44,0,0,1
1.52,-0.06,-1.68,1.24,-0.49,-0.34,1.89,1.46,0,0,1
1.78,-2.8,-1.49,-0.31,-1.12,-1.3,1.41,-0.63,0,0,1
-0.15,0.45,-0.05,-0.2,0.11,-3.66,-1.51,0.44,0,0,1
3.11,-0.2,0.84,1.92,-2.88,1.04,-1.05,0.89,0,0,1
-4.28,-0.83,-2.56,3.82,3.77,0.5,2.06,2.49,0,0,1
-2.55,2.42,1.88,-1.08,0.28,1.52,-1.53,-0.99,0,0,1
1.35,-0.28,-0.42,1.42,-0.18,-0.16,0.4,1.1,0,0,1
2.72,3.86,-1.06,0.77,-5.6,-3.2,-5.57,1.63,0,0,1
-0.81,2.72,0.23,0.4,-0.52,-0.64,-2.15,0.07,0,0,1
0.09,1.32,2.22,1.61,1.23,2.62,-1.41,-1.08,0,0,1
2.65,-2.35,-0.53,-1.01,-1.55,-1.84,0.91,-0.9,0,0,1
2.29,1.01,1.06,0.21,0.48,1.8,0.27,1.06,0,0,1
-3.17,-0.34,-3.17,0.82,1.95,-0.95,3.14,2.38,0,0,1
2.32,3.39,2.56,-0.35,1.14,0.25,-1.62,1.83,0,0,1
1.19,2.94,3.06,-2.37,-0.84,0.39,-4.07,-1.06,0,0,1
-0.62,-1.39,-0.56,-1.85,0.8,0.55,1.97,-0.35,0,0,1
-0.63,0.64,0.26,-2.26,-0.72,-2.1,-0.87,0.74,0,0,1
2.86,-0.42,1.67,1.34,-2.43,-0.16,-4.32,-3.36,0,0,1
-0.37,3.53,1.5,-0.59,-0.21,0.53,-3.33,-1.48,0,0,1
-1.09,3.37,0.94,0.54,-0.03,0.69,-2.61,0.93,0,0,1
1.88,-0.07,2.86,-0.95,1.37,1.87,0.48,-1.17,0,0,1
-1.57,0.47,0.29,-0.63,0.25,-0.13,0.28,0.43,0,0,1
1.0,0.76,-0.84,-1.93,-3.86,-3.77,-3.35,-1.13,0,0,1
-3.17,-0.26,0.01,0.17,2.72,2.76,2.53,-0.49,0,0,1
3.21,-1.88,1.22,-0.89,0.76,-0.74,1.11,-2.16,0,0,1
-2.13,-0.36,-0.64,-1.57,1.35,-0.1,1.82,1.23,0,0,1
0.07,2.79,3.3,1.92,0.18,2.27,-3.7,-0.38,0,0,1
-3.95,0.93,0.59,-4.0,3.28,0.51,2.35,1.22,0,0,1
-2.06,-0.91,1.87,-2.47,2.7,1.67,0.55,-4.1,0,0,1
-0.69,-0.82,0.0,0.41,2.01,1.2,2.94,2.58,0,0,1
0.43,0.23,-1.39,0.65,-2.16,0.54,1.24,1.95,0,0,1
-3.48,0.09,-1.36,-0.42,0.26,0.33,0.74,0.48,0,0,1
3.0,1.94,1.04,1.98,-2.61,-0.98,-5.09,-1.18,0,0,1
-2.85,0.81,-1.56,-1.35,-0.01,-0.22,1.23,1.07,0,0,1
-1.75,0.94,-3.08,-1.12,-0.55,0.25,2.78,2.03,0,0,1
0.85,1.06,-0.83,1.22,-1.21,-1.48,-1.18,2.63,0,0,1
2.48,-1.53,3.04,0.41,0.41,0.97,-1.01,-2.79,0,0,1
2.19,-2.6,2.1,-1.45,1.47,1.05,1.12,-2.65,0,0,1
2.21,-1.4,-0.78,2.93,-2.55,-1.36,-0.89,0.15,0,0,1
2.54,1.9,1.11,2.11,-2.36,-1.58,-3.83,0.18,0,0,1
-2.9,2.24,-0.86,-0.33,1.73,-0.52,-0.02,3.09,0,0,1
-1.3,0.68,-0.41,-0.57,2.69,-0.58,1.47,0.8,0,0,1
-0.17,1.05,0.51,-1.77,-1.06,-1.16,-1.84,-1.05,0,0,1
3.42,-0.25,-1.16,3.12,-3.2,-2.02,-2.38,1.46,0,0,1
1.93,-0.48,0.17,0.14,-1.92,-1.07,-1.39,1.15,0,0,1
-2.83,0.97,2.44,-1.5,4.19,1.84,0.05,-3.06,0,0,1
-0.16,-1.55,0.91,0.7,0.96,1.35,0.5,-2.72,0,0,1
-3.12,-2.37,0.33,0.4,4.18,1.03,2.6,-0.47,0,0,1
2.19,0.15,3.77,-0.24,-0.63,0.98,-3.4,-2.54,0,0,1
-1.44,-0.74,-0.7,-0.81,0.44,-0.69,0.98,-0.18,0,0,1
1.62,1.45,2.41,0.6,-0.67,-0.79,-4.25,-0.85,0,0,1
3.06,-0.53,1.67,1.75,-1.47,-1.09,-2.23,-0.41,0,0,1
-2.54,4.17,-1.32,0.47,1.22,-0.91,-0.72,2.58,0,0,1
-0.43,-1.15,0.27,0.93,0.44,-2.04,-0.7,-1.21,0,0,1
1.73,-1.06,-1.38,1.76,-2.49,-2.08,-1.34,0.04,0,0,1
-1.8,-1.41,-3.93,-1.41,-0.36,-0.53,3.47,2.01,0,0,1
-1.85,1.23,-1.73,0.84,0.03,-0.18,0.71,0.28,0,0,1
-0.75,-1.46,-0.87,-1.62,-0.66,-1.2,1.42,-0.24,1,0,0
0.88,1.56,0.9,2.52,0.2,-0.56,1.11,0.04,1,0,0
-1.7,-0.51,-1.75,-0.17,-1.51,2.15,-0.21,2.19,1,0,0
-1.16,-0.29,-1.2,1.18,0.82,0.69,1.09,1.26,1,0,0
0.66,0.09,-1.39,1.52,-1.59,0.76,1.37,1.68,1,0,0
1.46,1.73,-1.15,2.53,-2.16,0.8,-0.43,1.7,1,0,0
0.56,1.01,1.63,1.46,1.78,-0.56,0.17,0.15,1,0,0
-1.18,1.63,0.92,-0.1,0.7,-1.09,0.28,-0.57,1,0,0
-0.72,-0.07,-0.0,2.19,1.55,0.08,3.05,0.06,1,0,0
-0.73,-0.3,-0.98,0.06,0.31,0.03,1.3,-0.26,1,0,0
2.41,-0.55,0.6,0.43,0.56,-1.75,-0.33,-0.51,1,0,0
0.51,1.31,0.5,3.07,1.55,-1.29,1.23,0.7,1,0,0
-0.19,-0.32,-0.22,-2.0,-0.52,-1.12,0.45,-1.34,1,0,0
-1.27,1.16,-1.56,-0.36,0.16,0.34,-0.46,-0.49,1,0,0
0.48,2.46,0.57,2.51,1.4,-1.37,0.17,-0.18,1,0,0
-0.15,-1.43,-1.6,-0.88,0.1,-0.63,2.57,-1.44,1,0,0
-1.46,-0.37,0.09,1.31,1.43,1.45,1.99,-0.08,1,0,0
-0.87,-2.36,-1.36,-4.21,0.0,-0.66,1.66,-2.89,1,0,0
-1.62,0.85,-0.12,-0.63,1.61,0.57,-0.66,-1.15,1,0,0
-1.65,0.57,-2.35,3.73,-2.99,2.37,1.42,4.49,1,0,0
-1.03,-1.17,-1.11,-1.21,2.36,-0.39,1.45,-2.23,1,0,0
2.55,0.41,2.73,-2.06,-4.08,-2.0,-0.13,0.23,1,0,0
-1.24,-1.23,-0.43,-0.0,-2.08,1.3,1.67,1.66,1,0,0
-0.74,-0.49,-1.69,0.49,-0.37,0.03,-0.42,1.87,1,0,0
-0.8,0.49,-0.51,-0.89,-0.69,-0.37,0.3,-0.62,1,0,0
-0.29,1.77,-0.69,4.64,-1.62,2.19,0.01,4.32,1,0,0
0.31,1.03,-0.17,-1.53,-3.86,0.44,-1.6,1.0,1,0,0
-0.38,1.1,-0.41,4.95,-1.58,2.64,0.39,4.0,1,0,0
1.72,0.38,0.78,0.78,1.11,-2.27,0.46,0.05,1,0,0
-1.63,-1.49,-1.26,-1.87,0.37,1.01,1.94,-1.33,1,0,0
1.35,1.18,0.95,0.56,2.6,-3.16,-1.33,-1.3,1,0,0
-0.94,0.8,-0.24,-0.95,-0.63,0.66,-0.15,-0.59,1,0,0
0.61,0.76,1.38,0.38,0.88,-1.59,0.45,-0.99,1,0,0
-1.75,1.58,-0.62,0.85,3.63,-0.79,1.34,-1.67,1,0,0
-0.07,0.63,1.58,2.04,-1.75,1.21,-1.14,2.93,1,0,0
-0.36,-1.57,0.62,-2.27,0.87,-0.94,-0.1,-0.86,1,0,0
0.44,1.44,1.24,1.66,1.57,-0.07,1.28,-1.2,1,0,0
0.27,-0.16,0.27,-0.56,0.71,-1.15,0.33,-1.26,1,0,0
0.61,-1.17,0.37,1.28,-1.28,1.12,1.17,1.58,1,0,0
-0.44,0.18,0.01,2.18,-1.56,1.65,1.03,2.65,1,0,0
-0.05,0.36,-0.33,-0.77,0.3,-0.14,-1.57,-0.04,1,0,0
-2.92,-1.51,-1.92,0.02,-1.68,3.59,1.72,2.38,1,0,0
-4.77,0.11,-1.4,1.54,-0.29,4.63,2.11,2.39,1,0,0
-0.61,0.22,-0.0,-2.68,0.3,-1.62,-0.33,-1.84,1,0,0
0.13,0.46,-0.04,-1.96,2.05,-1.82,-0.92,-2.82,1,0,0
2.39,0.77,1.46,2.03,-2.33,-0.28,0.09,1.8,1,0,0
-0.68,0.41,-0.57,-0.39,-3.34,1.21,0.98,1.66,1,0,0
1.29,0.08,0.13,-0.35,-1.41,-0.86,-0.42,0.34,1,0,0
0.07,0.02,0.07,0.28,-1.42,0.68,-2.69,1.99,1,0,0
-2.81,-1.85,-1.42,0.45,1.2,1.56,3.42,0.58,1,0,0
-1.42,0.76,0.22,-4.15,5.2,-3.93,-1.89,-4.83,1,0,0
1.56,-0.07,0.99,0.86,-1.76,-0.62,1.12,0.62,1,0,0
-0.57,0.4,0.65,-0.68,-0.14,-1.24,0.93,-0.65,1,0,0
0.0,1.71,0.86,1.01,-0.31,-1.43,-2.04,1.27,1,0,0
-3.27,-0.39,-2.48,-1.96,-0.92,2.82,-1.52,1.37,1,0,0
-3.76,-0.36,-1.31,-3.31,5.53,-0.21,1.06,-4.01,1,0,0
0.04,0.8,-0.61,3.3,-1.4,1.39,0.2,2.9,1,0,0
-1.55,-1.65,-0.26,-2.09,0.96,0.45,1.15,-0.81,1,0,0
0.68,1.9,1.67,2.85,2.0,-1.89,-0.06,0.56,1,0,0
-1.65,2.15,-1.02,-1.22,-5.1,0.73,-1.31,2.46,1,0,0
0.37,1.85,0.71,2.65,-0.32,0.23,-1.37,1.69,1,0,0
1.31,0.5,0.16,-1.64,0.76,-3.05,-1.25,-1.76,1,0,0
-2.46,1.67,-0.3,0.43,0.73,1.61,0.38,0.15,1,0,0
0.77,0.76,-1.14,0.11,-1.71,-1.52,-0.04,0.5,1,0,0
1.3,1.64,0.91,2.11,0.19,0.62,-0.98,-0.0,1,0,0
0.96,-1.32,-1.66,0.7,-2.12,-0.1,-0.9,2.56,1,0,0
-0.76,0.67,-1.43,1.8,-0.03,0.69,0.64,1.9,1,0,0
-1.54,0.1,-1.25,0.77,1.86,1.56,0.32,0.74,1,0,0
0.27,0.72,0.65,-2.09,2.97,-2.39,-0.67,-3.34,1,0,0
-0.62,0.66,-0.61,0.89,-1.21,0.68,0.15,1.47,1,0,0
-0.0,-0.37,-0.62,-0.2,-2.08,1.95,0.3,1.04,1,0,0
-2.17,1.07,-1.03,1.98,-0.21,1.35,-0.08,2.12,1,0,0
-1.88,0.66,-1.9,-2.07,2.55,-1.21,-0.96,-1.79,1,0,0
-0.65,0.71,0.73,-0.31,0.01,-0.55,-0.64,0.84,1,0,0
-0.83,-0.39,-1.43,-3.21,1.92,-1.19,-0.54,-2.38,1,0,0
0.28,0.63,-1.05,0.26,-1.92,-0.95,-0.76,1.48,1,0,0
0.88,0.92,0.8,1.1,0.9,-1.97,0.35,-0.45,1,0,0
-0.24,1.06,-0.34,0.14,1.34,-2.01,-0.87,-1.0,1,0,0
-0.6,1.76,0.75,-2.78,0.85,0.02,-0.63,-2.44,1,0,0
-1.31,0.56,-1.9,-0.26,-0.72,1.69,0.06,0.89,1,0,0
-2.49,1.08,-0.06,0.92,-0.3,2.56,0.54,1.64,1,0,0
-1.56,-0.35,-1.27,-1.19,-0.22,0.54,-0.14,0.44,1,0,0
-2.29,-1.47,0.34,-3.68,-0.21,-0.95,1.29,-0.6,1,0,0
-2.21,-1.2,-3.21,0.25,0.1,1.84,1.05,1.32,1,0,0
2.27,0.64,1.19,1.32,-0.01,-2.48,0.57,-0.32,1,0,0
1.52,0.99,2.92,-3.31,-0.81,-2.79,-3.53,-1.33,1,0,0
1.84,1.47,-1.49,1.28,-1.62,-2.13,-1.59,1.6,1,0,0
-1.56,1.33,1.19,-0.28,-0.76,1.91,-1.66,1.26,1,0,0
-0.86,-1.12,-0.46,-3.21,-0.69,-1.26,0.3,-1.12,1,0,0
1.17,0.48,1.92,1.04,-0.97,-0.29,-0.09,1.41,1,0,0
0.87,2.19,1.03,-0.02,2.93,-2.43,-2.21,-1.7,1,0,0
-1.95,-1.44,-1.22,-1.31,-3.31,1.97,1.45,1.61,1,0,0
-0.57,2.06,2.77,0.92,1.42,0.62,-1.66,0.3,1,0,0
0.5,1.96,0.85,1.69,1.95,-0.76,-0.52,-0.89,1,0,0
-0.16,0.38,0.8,1.62,-0.75,1.56,-0.07,2.33,1,0,0
-2.11,0.2,-1.66,0.02,-0.62,1.49,-0.54,1.31,1,0,0
2.96,2.54,1.99,1.8,-1.01,-1.86,-1.69,0.45,1,0,0
1.31,1.76,1.59,-0.98,3.0,-3.65,-1.09,-3.3,1,0,0
0.73,0.6,0.61,-0.31,-0.83,-1.65,-1.41,0.65,1,0,0
0.79,1.74,2.05,-1.87,0.95,-2.73,-2.81,-1.56,1,0,0
0.98,0.76,0.97,0.86,-1.59,-0.34,0.14,1.13,1,0,0
-1.71,-0.75,-0.3,-0.46,1.53,0.58,0.06,-0.66,1,0,0
-3.08,-0.25,-4.02,1.12,-0.19,3.5,1.5,2.3,1,0,0
-0.47,0.99,2.52,-0.14,1.23,-0.95,-0.88,-0.07,1,0,0
0.47,0.88,-0.87,-1.04,0.12,-1.73,-1.05,-0.88,1,0,0
-0.61,-0.57,-2.07,0.84,-1.13,0.89,0.58,1.92,1,0,0
0.57,1.75,1.14,1.99,-0.56,-1.4,-1.7,1.34,1,0,0
1.94,1.4,0.33,1.19,-2.52,-1.09,-0.82,1.12,1,0,0
-0.05,-0.35,-0.1,1.35,0.78,1.86,0.18,0.67,1,0,0
0.79,-0.83,0.14,-0.26,0.75,-1.21,3.09,-2.08,1,0,0
1.08,0.93,-0.79,0.78,-2.08,-2.3,0.04,1.37,1,0,0
1.23,-0.78,0.54,-1.19,-1.12,-0.72,-0.52,-0.31,1,0,0
-0.35,0.97,1.0,1.88,1.21,-0.3,1.16,0.22,1,0,0
-1.43,1.6,0.8,1.43,2.04,0.54,0.41,0.08,1,0,0
-0.5,1.42,-0.59,0.52,0.96,0.19,-1.3,-0.42,1,0,0
0.83,0.32,-0.2,0.27,-3.81,0.85,-0.19,2.3,1,0,0
-0.37,-0.67,-0.51,1.41,1.8,-0.24,0.28,0.54,1,0,0
0.55,0.33,0.42,-1.86,-0.43,-1.74,-2.31,-0.23,1,0,0
-1.31,0.58,1.52,0.07,2.47,-0.22,0.28,-0.9,1,0,0
2.29,-0.37,-0.4,1.99,-2.03,-1.52,1.15,1.04,1,0,0
0.9,-0.26,0.88,-1.7,-2.22,-2.07,-1.96,0.54,1,0,0
-0.21,0.66,0.7,-0.35,1.62,-0.46,-0.03,-1.39,1,0,0
2.13,-0.88,2.0,0.31,4.01,-3.03,0.92,-2.38,1,0,0
-0.92,1.24,0.18,-1.05,0.91,-1.25,-0.17,-1.42,1,0,0
-0.52,0.89,-1.27,-1.91,1.67,-1.18,-0.2,-2.05,1,0,0
-1.86,0.27,-0.68,-0.1,-0.25,1.11,0.71,0.79,1,0,0
-0.44,-2.12,0.5,-3.0,1.5,-0.8,1.82,-2.56,1,0,0
-0.77,0.73,-0.18,2.98,0.56,1.36,-0.33,2.17,1,0,0
-1.66,-1.82,-1.75,-2.31,1.75,-1.0,2.3,-1.8,1,0,0
2.38,2.05,3.38,-0.79,2.15,-5.09,-2.18,-1.97,1,0,0
-0.4,0.71,1.16,2.91,3.63,-1.14,1.89,-0.46,1,0,0
1.37,-0.82,2.11,-0.42,-0.89,-2.22,0.45,0.44,1,0,0
0.36,-0.19,0.12,-3.08,3.11,-3.47,0.21,-4.24,1,0,0
-0.82,1.24,1.63,-2.56,0.02,-1.89,-1.41,-1.27,1,0,0
-0.72,-0.43,-0.99,1.91,2.82,0.53,2.28,-0.34,1,0,0
-0.02,1.43,-0.37,1.41,-0.57,1.53,-1.08,1.63,1,0,0
1.67,1.22,0.26,1.75,0.59,-2.79,0.84,-0.13,1,0,0
2.22,0.37,1.11,1.91,-2.43,-1.94,0.68,1.52,1,0,0
-1.25,-0.86,-1.41,-0.8,1.26,0.33,1.17,-0.86,1,0,0
-2.12,-0.44,0.49,0.62,1.64,0.88,3.23,-0.26,1,0,0
-0.26,1.13,-0.01,2.2,-0.6,0.1,0.77,1.85,1,0,0
0.55,1.53,0.23,1.23,-1.23,-0.73,-0.28,1.44,1,0,0
2.39,-0.95,0.76,-2.11,-1.6,-2.42,0.02,-0.28,1,0,0
-0.05,0.69,-1.44,-1.16,-0.4,-1.82,1.08,-1.37,1,0,0
-0.03,0.26,0.31,2.45,-2.52,3.04,0.65,3.41,1,0,0
-1.5,-0.73,-2.2,-0.33,-2.06,1.69,1.08,1.91,1,0,0
0.05,0.67,-0.47,-0.04,0.7,-1.22,0.09,-1.41,1,0,0
-1.43,1.07,-1.53,0.53,-1.28,1.5,0.74,0.48,1,0,0
0.41,0.67,-0.46,1.58,-1.52,-0.65,0.34,1.94,1,0,0
1.74,1.68,0.99,-1.23,1.63,-3.6,-1.28,-2.94,1,0,0
-1.71,-0.06,-1.54,1.59,2.37,0.59,0.58,0.56,1,0,0
-1.18,2.58,-1.88,1.73,4.64,0.28,-1.91,-0.7,1,0,0
-1.57,-0.48,-0.1,-2.63,-0.53,-0.64,0.16,-1.07,1,0,0
-2.03,0.77,-1.18,-2.11,0.88,0.13,-1.6,-1.02,1,0,0
-1.97,-1.16,-1.86,-1.06,2.11,1.4,1.26,-1.42,1,0,0
-0.14,0.43,-0.63,3.41,-3.15,1.71,0.98,4.29,1,0,0
1.32,0.44,0.84,0.01,-1.08,-1.9,-0.34,-0.17,1,0,0
-1.81,-0.56,-3.24,0.28,-1.73,1.29,0.07,1.91,1,0,0
-1.32,0.56,-1.43,1.45,-1.46,2.07,0.64,2.64,1,0,0
-3.11,0.04,-3.46,3.97,-3.18,5.79,0.34,5.74,1,0,0
-3.04,-0.34,-0.31,0.38,-0.47,2.65,0.9,1.72,1,0,0
-1.01,-1.12,0.42,-0.87,-0.41,0.04,0.24,0.37,1,0,0
-0.64,-0.54,-2.27,1.75,-1.86,2.95,0.78,2.5,1,0,0
1.43,0.51,1.55,0.0,0.43,-3.92,0.43,-0.41,1,0,0
-1.35,0.13,0.44,-1.45,-1.38,-0.45,-1.86,0.96,1,0,0
2.54,0.81,0.96,0.11,-0.22,-3.02,-3.2,-0.12,1,0,0
-1.23,0.79,-1.19,0.16,2.27,-0.15,0.08,-0.45,1,0,0
-0.48,-0.11,0.98,-3.42,1.07,-2.48,-1.09,-2.45,1,0,0
0.08,-0.92,-2.58,0.62,-3.25,1.62,0.6,2.25,1,0,0
0.06,0.48,-0.68,3.44,-2.11,2.22,-0.4,3.78,1,0,0
1.29,0.66,-1.35,-0.85,-0.09,-1.91,-0.84,-0.87,1,0,0
0.14,1.92,1.26,1.12,-0.97,0.02,-1.21,0.88,1,0,0
1.54,-0.28,0.88,1.49,-1.69,-0.43,0.47,1.52,1,0,0
-0.89,-0.75,-0.72,-2.49,3.19,-2.25,0.62,-3.28,1,0,0
-0.8,0.24,-0.6,-0.33,-2.72,1.84,-1.13,2.2,1,0,0
-3.15,0.46,0.36,2.01,-1.66,3.18,1.43,3.64,1,0,0
0.13,0.77,-0.17,-0.42,-2.13,-0.89,-0.77,1.35,1,0,0
-1.76,1.03,-1.49,-0.57,2.16,-1.39,-0.15,-1.24,1,0,0
-2.26,-0.51,-1.62,-0.16,-2.27,2.74,1.66,1.39,1,0,0
-1.04,1.1,-0.4,0.81,-2.13,0.18,-0.16,2.07,1,0,0
-0.18,-0.17,-0.15,-0.3,1.01,-0.27,0.62,-0.24,1,0,0
0.03,-0.04,1.2,1.41,-3.98,-0.77,-0.86,3.89,1,0,0
-1.6,0.03,0.32,-0.78,0.95,-0.31,0.82,-1.57,1,0,0
-0.88,-0.31,-0.95,0.51,-1.74,-0.12,0.86,1.65,1,0,0
-0.62,1.35,-0.66,-1.2,3.76,-1.56,0.19,-3.75,1,0,0
0.1,0.38,-0.42,-1.27,0.66,-1.0,0.86,-2.12,1,0,0
-0.37,1.04,0.1,1.85,2.65,0.65,-0.86,0.24,1,0,0
0.63,1.01,-1.27,0.29,-1.33,-2.25,-1.08,0.28,1,0,0
-1.86,-0.2,-1.42,1.03,0.83,1.58,0.01,0.82,1,0,0
-1.03,0.54,1.23,-1.72,1.49,-0.94,0.29,-1.68,1,0,0
-2.83,0.08,-0.82,1.77,-2.5,3.01,2.5,3.42,1,0,0
2.58,2.74,1.46,-0.58,0.1,-4.44,-1.74,-1.64,1,0,0
2.98,2.3,0.77,0.48,0.4,-4.0,-1.53,-0.9,1,0,0
-0.37,0.32,0.36,0.81,1.9,-1.3,1.17,-0.74,1,0,0
-0.56,1.1,-1.15,-1.6,0.42,-0.95,-2.37,-0.82,1,0,0
1.75,0.03,1.32,1.55,-1.26,-0.45,-0.87,2.58,1,0,0
2.05,0.73,1.4,2.9,-2.29,-0.49,-0.43,2.59,1,0,0
-1.53,0.88,-0.19,-0.17,-1.16,2.29,0.1,1.22,1,0,0
0.94,1.12,0.09,1.49,-4.37,-1.05,0.3,3.56,1,0,0
-2.39,0.63,-1.19,-0.96,1.28,0.61,1.23,-0.59,1,0,0
1.15,0.98,0.3,-1.07,0.94,-2.88,-0.66,-1.95,1,0,0
-1.1,-0.34,-1.99,0.57,0.33,0.45,0.75,1.04,1,0,0
-3.11,0.18,-0.75,1.47,-0.11,3.14,2.43,2.1,1,0,0
-1.0,1.39,0.82,-2.06,1.38,-2.83,0.03,-2.07,1,0,0
-1.29,0.65,0.87,-2.44,2.79,-1.29,0.28,-2.9,1,0,0
-1.49,0.34,0.69,1.59,-1.29,0.85,0.08,2.85,1,0,0
0.77,-0.51,-0.31,-1.31,-1.39,-1.3,1.71,-0.89,1,0,0
0.17,-0.53,-0.8,-0.5,0.21,-1.22,-0.1,-0.34,1,0,0
-1.17,-1.88,-0.17,-2.47,1.14,-1.58,2.46,-1.88,1,0,0
-1.22,0.79,0.57,-0.31,-0.57,0.65,-1.35,0.67,1,0,0
-0.24,-0.04,0.3,-1.26,2.8,-1.52,0.86,-2.08,1,0,0
-0.47,0.36,1.12,0.27,-3.02,1.29,-0.61,2.25,1,0,0
-0.85,-0.31,-2.38,0.13,3.08,-0.81,-0.84,-0.81,1,0,0
-2.61,0.58,-0.53,2.25,-0.91,3.28,0.61,3.52,1,0,0
0.15,-0.01,1.02,-2.01,0.41,-1.57,-1.02,-1.08,1,0,0
0.15,1.31,2.07,-0.65,1.66,-1.35,-1.42,-0.71,1,0,0
-1.8,-0.28,-0.45,-1.57,-0.13,0.46,0.01,0.03,1,0,0
0.46,-0.06,1.18,0.76,-4.09,1.96,-1.62,3.75,1,0,0
-2.35,-1.42,-0.94,-2.43,-1.44,1.88,-0.18,0.81,1,0,0
2.02,0.22,0.58,-0.28,1.77,-1.9,-0.06,-2.38,1,0,0
